섹션,문항번호,섹션질문,문항,유형,선택지1,선택지2,선택지3,선택지4,선택지5,
C 갈등·합의,Q11,💛애인과 갈등이 생겼다. 어떻게 해결하나요?,갈등이 생기면 이렇게 반응한다.,단일선택,바로 대화를 제안한다.,먼저 진정한 뒤 대화한다.,글/메모로 정리해 공유한다.,일단 거리를 두고 나중에 다룬다.,,
,Q12,,연인의 감정 기복이 심하거나 감정적 부담이 크면 관계를 지속하기 어렵다.,리커트,1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
,Q13,,사과와 회복은 이렇게 한다.,단일선택,빠르게 사과하고 재합의한다.,시간을 두고 정리한 뒤 사과한다.,제3자의 조언을 구한다.,묵과하고 넘어간다.,,
,Q14,,이성 친구·동료와의 관계에서 나는 이렇게 한다.,단일선택,이성 친구와의 만남·연락을 사전에 알리고 투명하게 공유한다.,상황에 따라 사후 공유로 충분히 설명한다.,사적인 1:1 만남은 가능하면 피하고 경계를 유지한다.,상호 신뢰를 우선하고 별도 공유를 요구하지 않는다.,,
,Q15,,연락·만남·예산 같은 최소 규칙을 정해두는 것이 좋다.,리커트(1–5),1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
D 데이트·주도성,Q16,💚 데이트 선호 방식에 대해 알아볼게요,첫 데이트 자리는 이렇게 선호한다.,복수선택,조용한 카페를 선택한다.,가볍게 식사를 한다.,전시·산책을 즐긴다.,액티비티를 체험한다.,분위기 좋은 바를 선택한다.,
,Q17,,데이트 주도는 이렇게 한다.,단일선택,내가 계획·예약을 주도한다.,서로 번갈아 주도한다.,상대가 주도하길 선호한다.,즉흥 제안을 선호한다.,,
,Q18,,데이트 비용은 이렇게 생각한다.,단일선택,더치페이를 한다.,번갈아 계산한다.,제안한 사람이 먼저 낸다.,상황에 따라 유연하게 정한다.,,
,Q19,,술자리 성향은 이렇다.,단일선택,마시지 않는다.,가볍게 마신다.,분위기에 따라 마신다.,즐겨 마신다.,,
,Q20,,내가 편한 공개적 애정표현 범위는 이렇다,단일선택,공공장소에서는 애정 표현을 최소화한다.,포옹은 편하다.,짧은 키스는 괜찮다.,사진·SNS에서 커플 사진/표현이 편하다.,모두 괜찮다. 혹은 그 이상도,
E 라이프스타일,Q21,🩵 당신의 라이프 스타일은?,생활 리듬은 이렇다.,단일선택,아침형으로 생활한다.,유연하게 상황에 따라 조정,유연하게 상황에 따라 조정,,,
,Q22,,주말은 주로 이렇게 보낸다.,단일선택,주말은 주로 이렇게 보낸다.,취미·여가를 즐긴다.,친구와 약속을 잡는다.,즉흥 약속을 즐긴다/그때 그때 다르다.,(연애할때) 특별한 일이 없는 한 항상 연인과 보낸다.,
,Q23,,새로운 모임·사람 많은 자리를 즐긴다.,리커트(1–5),1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
,Q24,,야시장·바·밤산책 같은 야간 활동을 좋아한다.,리커트(1–5),1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
,Q25,,연애에서 내가 더 우선하는 가치는 무엇이다,단일선택,안정과 일상 루틴을 우선한다.,성장과 도전 기회를 우선한다.,안정과 성장의 균형을 맞춘다.,아직 모르겠다.,,
