섹션,번호,질문 내용,선택지/점수 방향,안정적인 동반자,열정적인 몰입형,자유로운 유희형,공감 중심 밀착형,독립 보장형
,7,답장 속도는 이렇게 기대한다.,10분 내로 온다.,4,4,0,5,0
,,,1시간 내로 온다.,0,5,0,4,0
,,,반나절 내로 온다.,0,0,3,0,3
,,,하루 내로 온다.,3,0,4,0,4
,,,크게 상관하지 않는다.,5,0,4,0,5
,8,늦답/읽씹이 이어지면 불안이 커진다.,리커트(1-5),3,4,2,5,1
,9,"연인과의 관계가 끝날까 봐 두렵거나, 버림받는 것에 대한 공포감이 크다.",리커트(1-5),3,4,1,5,2
,10,연인에게 나의 깊은 사적인 비밀이나 고민을 털어놓는 것이 편하다.,리커트(1전혀아니다-5매우그렇다),3,5,2,5,1
C,11,갈등이 생기면 이렇게 반응한다.,바로 대화를 제안한다.,0,0,3,0,5
,,,먼저 진정한 뒤 대화한다.,5,0,0,0,0
,,,글/메모로 정리해 공유한다.,0,0,5,0,3
,,,일단 거리를 두고 나중에 다룬다.,5,3,0,3,0
,,,"관계의 분위기를 해치고 싶지 않아 웬만한 문제는 언급하지 않고, 긍정적인 면만 보려고 노력한다.",,,5,,
,12,연인의 감정 기복이 심하거나 감정적 부담이 크면 관계를 지속하기 어렵다.,리커트(1-5),2,0,5,0,5
,13,사과와 회복은 이렇게 한다.,빠르게 사과하고 재합의한다.,5,0,0,0,0
,,,시간을 두고 정리한 뒤 사과한다.,0,5,3,0,0
,,,제3자의 조언을 구한다.,0,5,0,0,
,,,묵과하고 넘어간다.,5,0,0,0,0
,14,이성 친구·동료와의 관계에서 나는 이렇게 한다.,이성 친구와의 만남·연락을 사전에 알리고 투명하게 공유한다.,0,0,5,0,0
,,,상황에 따라 사후 공유로 충분히 설명한다.,5,3,0,0,0
,,,사적인 1:1 만남은 가능하면 피하고 경계를 유지한다.,3,0,0,0,5
,,,상호 신뢰를 우선하고 별도 공유를 요구하지 않는다.,3,0,0,0,5
,15,연락·만남·예산 같은 최소 규칙을 정해두는 것이 좋다.,리커트(1-5),0,0,5,0,0
,16,데이트 주도는 이렇게 한다.,내가 계획·예약을 주도한다.,3,4,1,1,2
,,,서로 번갈아 주도한다.,4,3,1,1,4
,,,상대가 주도하길 선호한다.,2,1,3,4,1
,,,즉흥 제안을 선호한다.,1,3,4,2,2
,17,데이트 비용은 이렇게 생각한다.,더치페이를 한다.,0,1,4,0,3
,,,번갈아 계산한다.,5,0,2,4,5
,,,제안한 사람이 먼저 낸다.,,4,0,0,4
,,,상황에 따라 유연하게 정한다.,0,4,5,2,3
,18,관계의 최종 목표 및 미래 계획은?,"관계는 장기적인 삶의 동반자를 찾는 과정이며, 나의 미래 계획에 있어 가장 중요한 부분이다.",5,1,0,2,0
,,,"깊은 정서적 유대가 가장 중요하며, 관계가 깊어진다면 자연스럽게 미래를 함께 계획하고 싶다.",4,2,,5,1
,,,"현재의 강렬한 감정과 경험을 즐기는 것이 우선이며, 미래 계획은 그 다음 단계로 생각하고 싶다.",0,5,4,2,0
,,,"연애는 개인의 삶을 보조하는 요소일 뿐, 나의 커리어/개인 목표가 미래 계획에서 우선순위다.",1,0,3,0,5
,,,"연애는 현재의 즐거움을 위한 것이며, 미래의 구속이나 장기적인 계획은 전혀 고려하지 않는다.",0,4,5,0,1
,19,주말은 주로 이렇게 보낸다.,취미·여가를 즐긴다.,2,1,5,2,4
,,,친구와 약속을 잡는다.,2,1,4,2,2
,,,즉흥 약속을 즐긴다/그때 그때 다르다.,1,2,4,2,3
,,,(연애할때) 특별한 일이 없는 한 항상 연인과 보낸다.,3,5,2,3,2
,,,,,,,,
,20,연애에서 내가 더 우선하는 가치는 무엇이다,안정과 일상 루틴을 우선한다.,,,,,
,,,성장과 도전 기회를 우선한다.,,,,,
,,,안정과 성장의 균형을 맞춘다.,,,,,
,,,아직 모르겠다.,,,,,
