문항 번호,섹션 질문,선택지,1. 모험 유랑단,2. 여행 만학도,3. 늘보 베짱이,4. 핫플레이더,5. 가성비 로거,,
,,실내 전시는 잘 안 가는 편이에요,3,1,5,1,1,,
Q14,🚶‍♀️ 로컬 산책·동네 구경은?,골목/시장/카페 돌며 오래 머무는 걸 좋아해요,5,1,4,1,1,,
,,일정에 여유가 있으면 넣고 싶어요,1,3,1,1,3,,
,,빠른 이동이 더 맞아요,1,1,1,3,5,,
Q15,🏄 액티비티/패키지는?,서핑·하이킹 등 적극적으로 하고 싶어요,5,1,1,1,2,,
,,1~2개만 가볍게 체험하면 충분해요,3,1,1,1,3,,
,,체험보다는 관람/휴식이 좋아요,1,4,5,1,1,,
Q16,🌃 야간 활동은?,야시장/바/야경 코스 OK!,4,1,1,3,5,,
,,숙소 휴식이 좋아,1,3,5,1,1,,
,,다음 날 컨디션 보고 당일 결정,3,1,1,3,1,,
Q17,🚃 교통수단 선택,걷자! 20분은 산책,5,1,3,1,1,,
,,환승 2회도 OK (요금 절약/현지 경험),3,1,1,1,4,,
,,택시로 시간 세이브,1,1,5,4,3,,
Q18,🛍️ 쇼핑/기념품은?,대형 쇼핑센터/아울렛 루트 잡는다,1,1,1,3,4,,
,,동네 마켓·플리마켓 위주,5,1,1,1,1,,
,,여행은 무겁게 싫다 (기념품 최소),1,4,5,1,1,,
Q19,💸 가장 아깝지 않은 지출은?,현지 교통비나 로컬 식당에서의 경험,5,1,1,1,1,,
,,박물관 입장권 / 투어 비용,1,5,1,1,1,,
,,푹신한 침구와 룸서비스가 있는 럭셔리 숙소 비용,1,1,5,1,1,,
,,"예쁜 옷이나 악세서리, 기념품 구매 비용",1,1,1,5,1,,
,,대중교통 패스 / 할인된 투어 상품 비용,1,1,1,1,5,,
Q20,😬 피하고 싶은 것 (복수 선택),장거리 도보/과한 걷기,1,1,5,1,1,,
,,혼잡한 곳/과한 웨이팅,1,1,3,1,4,,
,,소음 많은 숙소/파티형 숙소,1,3,5,1,1,,
,,사진·촬영 위주 코스,1,4,3,1,1,,
,,쇼핑 위주 코스,3,1,1,1,1,,
Q21,💞 최고의 활동은? (복수 선택),현지 시장이나 골목을 탐험하는 것,5,1,1,1,1,,
,,유명한 건축물 앞에서 설명을 들으며 감상하는 것,1,5,1,1,1,,
,,침대나 수영장에서 하루 종일 멍 때리는 것,1,1,5,1,1,,
,,유명한 식당에 가서 사진 찍고 맛보는 것,1,1,1,5,1,,
,,유명한 관광명소를 짧게라도 다 둘러보는 것,1,1,1,1,5,,
